APPROVE_TOPICS,"Approve topics"
APPROVE_TOPICS_CONFIRM,"Are you sure you want to approve the selected topics?"
MCP_QUEUE_DELETED_POSTS,"Deleted posts"
MCP_QUEUE_DELETED_POSTS_EXPLAIN,"This is a list of all soft deleted posts. You can restore or permanently delete the posts from this screen."
MCP_QUEUE_DELETED_TOPICS,"Deleted topics"
MCP_QUEUE_DELETED_TOPICS_EXPLAIN,"This is a list of all soft deleted topics. You can restore or permanently delete the topics from this screen."
NO_POSTS_DELETED,"There are no deleted posts."
NO_POSTS_QUEUE,"There are no posts waiting for approval."
NO_TOPICS_DELETED,"There are no deleted topics."
QUICKMOD_ACTION_NOT_ALLOWED,"%s not allowed as quickmod"
POSTS_RESTORED_SUCCESS,"The selected posts have been restored successfully."
POST_RESTORED_SUCCESS,"This post has been restored successfully."
RESTORE,Restore
RESTORE_POST,"Restore post"
RESTORE_POST_CONFIRM,"Are you sure you want to restore this post?"
RESTORE_POSTS,"Restore posts"
RESTORE_POSTS_CONFIRM,"Are you sure you want to restore the selected posts?"
RESTORE_TOPIC,"Restore topic"
RESTORE_TOPIC_CONFIRM,"Are you sure you want to restore this topic?"
RESTORE_TOPICS,"Restore topics"
RESTORE_TOPICS_CONFIRM,"Are you sure you want to restore the selected topics?"
TOPICS_RESTORED_SUCCESS,"The selected topics have been restored successfully."
TOPIC_RESTORED_SUCCESS,"The selected topic has been restored successfully."
NO_WARNINGS,"No warnings exist."
DELETED_INFORMATION,"Deleted by %1$s on %2$s"
POST_DELETED_RESTORE,"This post has been deleted. It can be restored."
TOPIC_TOOLS,"Topic tools"
PLUPLOAD_ADD_FILES,"Add files"
PLUPLOAD_ADD_FILES_TO_QUEUE,"Add files to the upload queue and click the start button."
PLUPLOAD_ALREADY_QUEUED,"%s already present in the queue."
PLUPLOAD_CLOSE,Close
PLUPLOAD_DRAG,"Drag files here."
PLUPLOAD_DUPLICATE_ERROR,"Duplicate file error."
PLUPLOAD_DRAG_TEXTAREA,"You may also attach files by dragging and dropping them in the message box."
PLUPLOAD_ERR_INPUT,"Failed to open input stream."
PLUPLOAD_ERR_MOVE_UPLOADED,"Failed to move uploaded file."
PLUPLOAD_ERR_OUTPUT,"Failed to open output stream."
PLUPLOAD_ERR_FILE_TOO_LARGE,"File too large:"
PLUPLOAD_ERR_FILE_COUNT,"File count error."
PLUPLOAD_ERR_FILE_INVALID_EXT,"Invalid file extension:"
PLUPLOAD_ERR_RUNTIME_MEMORY,"Runtime ran out of available memory."
PLUPLOAD_ERR_UPLOAD_URL,"Upload URL might be wrong or does not exist."
PLUPLOAD_EXTENSION_ERROR,"File extension error."
PLUPLOAD_FILE,"File: %s"
PLUPLOAD_FILE_DETAILS,"File: %s, size: %d, max file size: %d"
PLUPLOAD_FILENAME,Filename
PLUPLOAD_FILES_QUEUED,"%d files queued"
PLUPLOAD_GENERIC_ERROR,"Generic error."
PLUPLOAD_HTTP_ERROR,"HTTP error."
PLUPLOAD_IMAGE_FORMAT,"Image format either wrong or not supported."
PLUPLOAD_INIT_ERROR,"Init error."
PLUPLOAD_IO_ERROR,"IO error."
PLUPLOAD_NOT_APPLICABLE,N/A
PLUPLOAD_SECURITY_ERROR,"Security error."
PLUPLOAD_SELECT_FILES,"Select files"
PLUPLOAD_SIZE,Size
PLUPLOAD_SIZE_ERROR,"File size error."
PLUPLOAD_STATUS,Status
PLUPLOAD_START_UPLOAD,"Start upload"
PLUPLOAD_START_CURRENT_UPLOAD,"Start uploading queue"
PLUPLOAD_STOP_UPLOAD,"Stop upload"
PLUPLOAD_STOP_CURRENT_UPLOAD,"Stop current upload"
PLUPLOAD_UPLOADED,"Uploaded %d/%d files"
CONFIG_NOT_EXIST,"The config setting ""%s"" unexpectedly does not exist."
GROUP_NOT_EXIST,"The group ""%s"" unexpectedly does not exist."
MIGRATION_APPLY_DEPENDENCIES,"Apply dependencies of %s."
MIGRATION_DATA_DONE,"Installed Data: %1$s; Time: %2$.2f seconds"
MIGRATION_DATA_IN_PROGRESS,"Installing Data: %1$s; Time: %2$.2f seconds"
MIGRATION_DATA_RUNNING,"Installing Data: %s."
MIGRATION_EFFECTIVELY_INSTALLED,"Migration already effectively installed (skipped): %s"
MIGRATION_EXCEPTION_ERROR,"Something went wrong during the request and an exception was thrown. The changes made before the error occurred were reversed to the best of our abilities, but you should check the board for errors."
